STEM,LEMMA,FORMS...
delicaci,delicacy (n),delicacy (NN)
delinqu,delinquent (n),delinquent (JJ)
deliv,delivering (NN),delivering (NN),delivered (VBN)
deliver,deliverance (n),deliverance (NN)
deliveri,delivery (n),delivery (NN)
demand,demand (n),demand (NN),demands (NNS),demanded (VBD),demanding (VBG)
demigod,demigod (n),demigod (JJ)
demis,demise (n),demise (NN)
demon,demon (n),demon (NN),demons (NNS)
demonstr,demonstrate (JJ),demonstrate (JJ),demonstrated (VBD),demonstration (NN),demonstrating (VBG),demonstrations (NNS),demonstrates (VBZ),demonstrably (NN)
deni,deny (v),denying (VBG),deny (NN),denied (VBD)
denizen,denizen (n),denizens (NNS)
denounc,denounce (v),denounced (VBN),denounces (NNS)
dens,dense (NN),dense (NN),densely (RB)
densest,densest (JJS),densest (JJS)
depart,department (n),departments (NNS),depart (JJ),departed (JJ),department (NN)
departur,departure (n),departure (NN)
depend,depend (NN),depend (NN),dependent (JJ),depending (VBG),depends (VBZ),depended (VBD)
deplet,deplete (v),depleted (VBD)
deploy,deploy (v),deploying (VBG),deployed (JJ),deploy (NN),deployment (JJ)
depopul,depopulate (v),depopulated (VBN)
deposit,deposit (n),deposit (NN),deposits (NNS)
depred,depredation (n),depredations (NNS)
depress,depressed (JJ),depressed (JJ),depressing (VBG),depression (NN),depress (NN)
depressur,depressurize (v),depressurized (VBN)
depriv,deprive (JJ),deprive (JJ),deprivation (NN)
deprogram,deprogrammed (VBD),deprogrammed (VBD)
depth,depth (n),depths (JJ)
depthless,depthless (JJ),depthless (JJ)
derang,derange (v),deranged (VBN)
derelict,derelict (VBP),derelict (VBP)
deris,derision (n),derision (NN),derisively (RB)
deriv,derive (v),derived (VBN)
descend,descend (v),descends (VBZ),descending (NN),descendants (NNS),descend (NN),descended (VBN)
descent,descent (n),descent (JJ)
describ,describe (NN),describe (NN),describing (VBG),described (VBD)
descript,description (n),descriptions (NNS),descriptive (JJ)
desert,desert (v),deserted (VBN),desertion (NN)
deserv,deserve (v),deserved (VBD),deserve (NN),deserving (VBG)
desicc,desiccated (JJ),desiccated (JJ)
design,design (n),design (NN),designed (VBN),designation (NN),designs (NNS)
desir,desire (n),desires (NNS),desirability (NN),desire (NN),desirable (JJ),desired (JJ)
desol,desolate (v),desolated (VBN)
despair,despair (n),despair (NN)
desper,desperate (n),desperate (JJ),desperately (RB),desperation (NN)
despit,despite (n),despite (IN)
destin,destination (n),destination (NN),destinations (NNS),destined (VBN)
destini,destiny (n),destiny (NN),destinies (NNS)
destroy,destroy (v),destroying (VBG),destroyed (VBN),destroys (JJ),destroy (JJ)
destruct,destruction (n),destruction (NN),destructive (JJ)
detach,detach (v),detaching (VBG),detached (VBD),detachments (NNS),detach (NN)
detail,detail (n),detail (JJ),details (NNS),detailing (VBG)
detect,detect (NN),detect (NN),detecting (VBG),detected (VBN)
deterior,deteriorate (v),deteriorating (VBG),deterioration (NN)
determin,determined (JJ),determined (JJ),determination (NN),determine (NN),determinedly (RB),determines (NNS)
deton,detonation (VBP),detonation (VBP),detonating (VBG)
detriment,detrimental (JJ),detrimental (JJ)
detritus,detritus (n),detritus (NN)
devast,devastate (v),devastating (VBG),devastated (VBD),devastation (NN)
develop,development (n),developments (NNS),developed (VBN),developer (IN),development (NN),develop (NN)
deviant,deviant (n),deviant (JJ)
deviat,deviate (n),deviate (NN)
devic,device (n),device (NN),devices (NNS)
devis,devise (n),devise (NN),devised (VBN)
devoid,devoid (NN),devoid (NN)
devolv,devolve (v),devolved (VBN),devolving (VBG)
devot,devote (v),devoted (VBN),devotion (NN),devotions (NNS)
devour,devour (v),devoured (VBD)
diagnost,diagnostic (JJ),diagnostic (JJ)
diagram,diagram (n),diagram (NN)
dial,dial (n),dial (JJ)
dialogu,dialogue (n),dialogue (NN),dialogues (NNS)
diaspora,diaspora (n),diaspora (JJ),diasporas (VBP)
diatrib,diatribe (n),diatribes (NNS)
dice,dice (n),dice (JJ)
dick,dick (n),dick (JJ)
dictat,dictate (v),dictated (VBN),dictates (VBZ),dictating (VBG)
did,do (v),did (VBD)
didn,didn (NN),didn (NN)
die,die (v),dying (VBG),die (JJ),dies (NNS),died (VBD)
differ,differently (RB),differently (RB),difference (NN),differing (VBG),differences (NNS),different (JJ)
differenti,differential (n),differentials (NNS)
difficult,difficult (JJ),difficult (JJ)
difficulti,difficulty (n),difficulty (NN),difficulties (NNS)
dig,dig (v),digging (VBG),dig (RB)
digest,digest (n),digest (JJS)
digger,digger (n),digger (NN)
digit,digital (JJ),digital (JJ)
digniti,dignity (n),dignity (NN)
dilemma,dilemma (n),dilemma (NN)
dilig,diligently (RB),diligently (RB),diligent (JJ)
dim,dim (NNS),dim (NNS),dimly (RB)
dimens,dimension (n),dimension (NN),dimensions (NNS)
diminish,diminishes (NNS),diminishes (NNS),diminishing (VBG)
diminut,diminutive (n),diminutive (JJ)
dine,din (v),dining (VBG)
dinner,dinner (n),dinner (NN)
dip,dipped (JJ),dipped (JJ),dip (JJ)
diplomaci,diplomacy (n),diplomacy (NN)
diplomat,diplomatically (RB),diplomatically (RB),diplomats (NNS)
dire,dire (NN),dire (NN)
direct,direct (JJ),direct (JJ),directions (NNS),directives (VBZ),directed (VBD),direction (NN),directing (VBG),directly (RB)
directori,directory (n),directories (NNS)
dirig,dirigible (n),dirigibles (NNS)
dirti,dirty (v),dirty (VBP)
disabl,disable (v),disabled (VBD),disable (JJ)
disabus,disabuse (v),disabused (VBD)
disaffect,disaffect (v),disaffected (VBN)
disagr,disagreement (n),disagreement (NN),disagreements (NNS)
disagre,disagree (v),disagreeing (VBG),disagrees (VBZ),disagree (VBP)
disappear,disappear (v),disappearing (VBG),disappeared (VBD)
disappoint,disappointing (JJ),disappointing (JJ),disappointment (NN)
disapprob,disapprobation (n),disapprobation (NN)
disapprov,disapproval (n),disapproval (NN)
disarm,disarm (NN),disarm (NN)
disarray,disarray (v),disarray (VBP)
disassoci,disassociate (v),disassociating (VBG)
disast,disaster (n),disaster (RBR)
disastr,disastrous (JJ),disastrous (JJ)
disavow,disavow (NN),disavow (NN)
disc,disc (n),discs (NN),disc (JJ)
discard,discard (v),discarded (VBD)
discern,discern (JJ),discern (JJ),discerned (VBN),discernible (JJ)
discharg,discharge (n),discharge (NN)
disciplin,discipline (n),discipline (NN),disciplines (NNS)
disclosur,disclosure (n),disclosure (NN)
discomfort,discomfort (n),discomfort (NN)
disconcert,disconcert (v),disconcerting (VBG)
disconnect,disconnect (v),disconnected (VBN),disconnect (NN)
discontinu,discontinuity (n),discontinuities (NNS)
discord,discord (n),discord (NN)
discount,discounting (NN),discounting (NN)
discourt,discourteous (JJ),discourteous (JJ)
discov,discover (v),discovered (VBD),discovering (VBG),discover (NN),discovers (VBZ)
discoveri,discovery (n),discoveries (NNS),discovery (NN)
discreet,discreetly (RB),discreetly (RB)
discret,discrete (JJ),discrete (JJ),discretion (NN)
discuss,discussion (n),discussions (NNS),discussion (NN),discussing (VBG),discuss (JJ)
diseas,diseased (VBD),diseased (VBD),disease (NN)
disembark,disembarks (NNS),disembarks (NNS)
disembodi,disembody (v),disembodied (VBD)
disenfranchis,disenfranchise (NN),disenfranchise (NN)
disentangl,disentangle (v),disentangling (VBG)
disgrac,disgrace (v),disgrace (VBP)
disguis,disguise (n),disguise (NN),disguised (VBD)
disgust,disgustedly (RB),disgustedly (RB),disgusted (VBN)
dishevel,dishevel (v),dishevelled (VBN)
disillusion,disillusionment (n),disillusionment (NN)
disintegr,disintegrate (v),disintegrating (VBG),disintegrated (VBN)
dislik,dislike (n),dislike (JJ)
dislodg,dislodge (NN),dislodge (NN)
disloy,disloyal (RB),disloyal (RB)
dismal,dismal (JJ),dismal (JJ)
dismantl,dismantle (JJ),dismantle (JJ)
dismemb,dismember (v),dismembering (VBG),dismembered (VBD)
dismiss,dismissal (VBP),dismissal (VBP),dismissively (RB),dismissive (JJ)
dispassion,dispassionately (RB),dispassionately (RB)
dispatch,dispatch (n),dispatch (NN),dispatched (VBD)
dispel,dispel (v),dispelled (VBD)
dispens,dispense (v),dispensing (VBG)
dispers,dispersal (n),dispersal (NN),dispersing (VBG),disperses (NNS),dispersed (VBD)
displac,displace (v),displaced (VBD)
display,display (n),displays (NNS),display (NN),displaying (VBG),displayed (VBN)
displeas,displeased (JJ),displeased (JJ),displease (NN)
dispos,disposable (n),disposable (JJ),disposal (NN),dispose (NN),disposed (VBD)
disproof,disproof (n),disproof (NN)
disput,dispute (n),dispute (NN),disputed (VBD)
disquiet,disquiet (n),disquiet (JJ)
disregard,disregard (v),disregarded (VBD)
disrepair,disrepair (n),disrepair (NN)
disrespect,disrespect (n),disrespect (JJ)
disrupt,disrupt (NNS),disrupt (NNS)
disruptor,disruptors (NNS),disruptors (NNS)
dissect,dissect (JJ),dissect (JJ),dissecting (VBG),dissected (VBN)
dissent,dissent (n),dissent (JJ)
dissip,dissipate (v),dissipating (VBG),dissipate (NN)
dissolut,dissolution (n),dissolution (NN)
dissolv,dissolve (v),dissolved (VBN)
dissuad,dissuaded (JJ),dissuaded (JJ)
dissuas,dissuasion (n),dissuasion (NN)
distanc,distance (n),distance (NN),distances (NNS),distancing (VBG)
distant,distant (JJ),distant (JJ),distantly (RB)
distast,distaste (VBP),distaste (VBP)
distil,distilled (JJ),distilled (JJ),distils (NNS),distil (VBP)
distilleri,distillery (n),distillery (NN)
distinct,distinct (NN),distinct (NN),distinction (NN)
distort,distort (v),distorted (VBD),distorting (VBG)
distract,distract (v),distracted (VBN),distracting (VBG),distraction (NN)
distress,distress (v),distressing (VBG),distress (NN)
distribut,distribute (v),distributed (VBN),distribute (JJ)
district,district (n),district (NN)
distrust,distrustfully (RB),distrustfully (RB)
disturb,disturbingly (RB),disturbingly (RB),disturbance (NN),disturbed (VBN),disturbing (VBG),disturbances (NNS)
disus,disuse (VBP),disuse (VBP)
diurnal,diurnal (JJ),diurnal (JJ)
dive,dive (v),diving (VBG)
diver,diver (n),diver (RP)
divers,diverse (VBP),diverse (VBP)
diversif,diversification (n),diversification (NN)
divert,divert (JJ),divert (JJ)
divid,divided (JJ),divided (JJ),divide (NN)
divin,divinely (RB),divinely (RB),divine (VBP),divinity (VBP)
divis,division (n),division (NN),divisions (NNS)
divorc,divorce (v),divorced (VBD)
dizzi,dizziness (n),dizziness (NN),dizzying (VBG)
doabl,doable (JJ),doable (JJ)
docil,docile (JJ),docile (JJ)
dock,dock (v),dock (VBP)
doctor,doctorate (VB),doctorate (VB),doctors (NNS),doctor (NN)
doctrin,doctrinal (JJ),doctrinal (JJ),doctrine (JJ)
dodg,dodge (v),dodging (VBG),dodge (NN)
does,do (v),does (VBZ)
doesn,doesn (NN),doesn (NN)
dog,doggedly (RB),doggedly (RB),dog (NN),dogged (VBD)
dogma,dogma (n),dogma (NN)
dogmat,dogmatic (JJ),dogmatic (JJ)
doing,do (v),doing (VBG)
dolor,dolorously (RB),dolorously (RB)
domain,domain (VBP),domain (VBP)
domest,domestication (VBP),domestication (VBP),domesticate (VBP),domesticated (JJ)
domin,dominate (v),dominated (VBD),dominant (JJ),dominating (VBG),dominate (JJ),dominance (NN)
don,don (v),don (VBP),dons (NNS),donned (VBD)
donat,donate (v),donated (VBN)
done,do (v),done (VBN)
doom,doom (v),doom (VBP),doomed (VBD)
door,door (n),door (NN),doors (NNS)
doorway,doorway (n),doorway (NN)
dormanc,dormancy (n),dormancy (NN)
dormant,dormant (JJ),dormant (JJ)
dormitori,dormitory (n),dormitory (JJ)
dorsal,dorsal (NN),dorsal (NN)
dose,dose (v),dose (VBP)
dot,dot (n),dots (NNS),dot (JJ)
doubl,double (n),double (JJ)
double-hul,double-hulled (JJ),double-hulled (JJ)
double-tim,double-time (JJ),double-time (JJ)
doubli,doubly (RB),doubly (RB)
doubt,doubt (n),doubts (NNS),doubt (NN)
dous,douse (IN),douse (IN)
down,down (n),down (RB),downed (VBD)
download,download (NN),download (NN),downloaded (VBD)
downward,downwards (NNS),downwards (NNS)
dozen,dozens (VBZ),dozens (VBZ),dozen (NN)
drag,drag (n),drags (NNS),draggingly (RB),dragged (VBD),drag (NN),dragging (VBG)
dragonfli,dragonfly (n),dragonfly (JJ)
drain,drain (v),drained (VBN),draining (VBG),drains (NNS)
drainag,drainage (n),drainage (NN)
drama,drama (n),dramas (NN)
dramat,dramatic (JJ),dramatic (JJ),dramatically (RB)
drape,drape (n),drapes (NNS)
draught,draught (v),draught (VBN)
draw,draw (n),draws (NN),drawing (VBG),draw (VB)
drawback,drawback (n),drawbacks (NNS)
drawn,draw (v),drawn (VBN)
dread,dread (n),dread (JJ),dreadfully (RB),dreadful (JJ)
dream,dream (v),dreaming (VBG),dreams (VBZ),dreamed (VBD),dream (NN)
dreamless,dreamless (JJ),dreamless (JJ)
dreamlik,dreamlike (NN),dreamlike (NN)
dreamt,dreamt (IN),dreamt (IN)
dredg,dredge (v),dredged (VBN)
dress,dress (n),dress (NN),dressed (VBN)
drew,draw (v),drew (VBD)
dri,dry (v),dried (VBD),dry (JJ)
drift,drift (v),drifting (VBG),drift (NN),drifted (VBD)
drili,drily (RB),drily (RB)
drill,drill (v),drill (VB),drilling (VBG)
drink,drink (n),drinks (NNS),drink (NN)
drive,drive (n),drive (NN),driving (VBG),drives (NNS)
driven,driven (RB),driven (RB)
drm,drm (NN),drm (NN)
drm-free,drm-free (JJ),drm-free (JJ)
drone,drone (n),drones (NNS),droned (JJ),drone (NN)
drool,drool (n),drool (NN)
drop,drop (v),drop (VBP),dropped (VBD),drops (NNS),dropping (VBG)
dropbox,dropbox (NN),dropbox (NN)
drug,drug (n),drugs (NNS),drugged (VBD),drug (NN)
drum,drum (v),drummed (VBD),drumming (VBG)
drunk,drink (v),drunk (VBP)
drunken,drunkenly (RB),drunkenly (RB)
duck,duck (v),ducked (VBD),ducking (VBG)
duct,ducts (VBZ),ducts (VBZ)
due,due (n),due (JJ)
dug,dug (n),dug (JJ)
dull,dull (JJ),dull (JJ)
dulli,dully (RB),dully (RB)
dumb,dumb (NN),dumb (NN)
dump,dumped (JJ),dumped (JJ)
duplic,duplicate (n),duplicate (JJ)
duress,duress (n),duress (NN)
during,during (IN),during (IN)
dusk,dusk (v),dusk (VBP)
dust,dust (v),dusting (VB),dust (NN)
duti,duty (n),duties (NNS),duty (NN)
dwarf,dwarf (v),dwarfing (VBG),dwarf (VBP)
dwell,dwell (NN),dwell (NN),dwellings (NNS),dwelling (VBG),dwells (VBZ)
dwelt,dwelt (NN),dwelt (NN)
dwindl,dwindle (v),dwindled (VBD),dwindling (VBG)
dy,dyed (JJ),dyed (JJ)
e-read,e-readers (NNS),e-readers (NNS),e-reader (NN)
each,each (DT),each (DT)
eager,eagerly (RB),eagerly (RB)
ear,ear (n),ears (NNS),ear (VBP)
ear-split,ear-splitting (JJ),ear-splitting (JJ)
ear-wrench,ear-wrenching (NN),ear-wrenching (NN)
eardrum,eardrum (n),eardrums (NNS)
earli,early (JJ),early (JJ)
earlier,earlier (JJR),earlier (JJR)
earliest,earliest (JJS),earliest (JJS)
earn,earn (v),earned (VBN)
earnest,earnestly (RB),earnestly (RB),earnest (VBP)
earphon,earphone (n),earphones (NNS)
earpiec,earpiece (n),earpiece (JJ)
earshot,earshot (n),earshot (JJ)
earth,earth (n),earth (NN)
earth-born,earth-born (JJ),earth-born (JJ)
earth-lik,earth-like (JJ),earth-like (JJ)
earthquak,earthquake (n),earthquake (NN)
eas,ease (n),ease (NN)
easi,easy (JJ),easy (JJ)
easier,easier (JJR),easier (JJR)
easili,easily (RB),easily (RB)
eat,eat (NN),eat (NN),eating (NN)
eaten,eaten (NN),eaten (NN)
eavesdrop,eavesdrop (v),eavesdropping (VBG),eavesdropped (VBN)
eb,ebb (v),ebbed (VBD)
ebook,ebooks (NNS),ebooks (NNS)
echo,echo (v),echoed (VBP),echo (VBP)
eclips,eclipsed (JJ),eclipsed (JJ)
econom,economic (JJ),economic (JJ)
economi,economy (n),economy (NN)
ecosystem,ecosystems (VBZ),ecosystems (VBZ),ecosystem (JJ)
ecstat,ecstatic (JJ),ecstatic (JJ)
eden,eden (n),eden (JJ)
edg,edge (n),edges (NNS),edge (NN)
edibl,edible (n),edible (JJ)
edict,edict (n),edicts (NNS)
edit,edition (n),edition (NN),edited (VBD)
editor,editor (n),editor (NN)
educ,educate (v),educated (VBN),education (NN),educational (JJ)
efeb-e-fa-a-afaddb,efeb-e-fa-a-afaddb (JJ),efeb-e-fa-a-afaddb (JJ)
effect,effect (v),effected (VBD),effects (NNS),effectively (RB),effect (NN),effective (JJ)
efficaci,efficacious (JJ),efficacious (JJ)
effici,efficiently (RB),efficiently (RB),efficient (JJ),efficiency (NN)
effort,effort (n),efforts (NNS),effort (NN)
effortless,effortless (JJ),effortless (JJ),effortlessly (RB)
eg,egg (v),egging (VBG)
egg,egg (n),eggs (NNS),egg (NN)
egg-lay,egg-laying (JJ),egg-laying (JJ)
eggshel,eggshell (n),eggshell (NN)
eggshell-dwel,eggshell-dweller (JJ),eggshell-dweller (JJ)
ego,ego (n),egos (JJ),ego (RB)
eight,eight (n),eight (CD)
eight-leg,eight-legged (JJ),eight-legged (JJ)
eighti,eighty (n),eighty (JJ)
either,either (DT),either (DT)
elabor,elaborate (v),elaborate (VBP)
elaps,elapsed (JJ),elapsed (JJ)
elat,elation (n),elation (NN),elated (JJ)
elbow,elbow (v),elbowing (VBG),elbow (JJ),elbows (NNS)
elder,elder (n),elder (NN)
elect,elect (n),elects (NNS)
electr,electric (n),electric (JJ),electrical (JJ)
electrifi,electrify (v),electrify (VBP),electrified (VBN)
electromagnet,electromagnetic (JJ),electromagnetic (JJ)
electron,electronic (JJ),electronic (JJ),electronics (NNS),electronically (RB)
eleg,elegantly (RB),elegantly (RB),elegant (JJ),elegance (NN)
element,element (n),elements (NNS),elemental (JJ),element (NN)
elementari,elementary (JJ),elementary (JJ)
elev,elevate (v),elevating (VBG),elevation (NN),elevator (NN)
eleventh,eleventh (n),eleventh (RB)
elimin,eliminate (v),eliminated (VBN)
elit,elite (n),elite (JJ)
eliza,eliza (JJ),eliza (JJ)
eloqu,eloquently (RB),eloquently (RB),eloquent (NN)
els,else (RB),else (RB)
elsewher,elsewhere (RB),elsewhere (RB)
elus,elusive (VBP),elusive (VBP)
email,email (v),emailing (VBG)
embark,embark (v),embarking (VBG),embarked (JJ)
embarrass,embarrassment (n),embarrassment (NN),embarrassed (VBD)
embassi,embassy (n),embassy (RB)
embed,embed (v),embedded (VBD),embedding (VBG)
embrac,embrace (v),embrace (VBP)
embroideri,embroidery (n),embroidery (NN)
embryo,embryo (n),embryos (NN),embryo (VBP)
emerald,emerald (n),emerald (JJ)
emerg,emergency (n),emergencies (NNS),emerging (VBG),emerges (VBZ),emerge (JJ),emergent (NN),emergency (NN),emerged (VBD)
emissari,emissary (n),emissary (JJ),emissaries (NNS)
emot,emotion (n),emotion (NN),emotions (NNS),emotional (JJ)
emp,emp (JJ),emp (JJ)
empathi,empathy (n),empathy (JJ)
emphasi,emphasis (n),emphasis (NN)
empir,empire (n),empire (NN),empirical (JJ)
employ,employ (n),employ (JJ),employing (VBG),employed (JJ)
empti,emptiness (n),emptiness (NN),empty (JJ),emptied (JJ)
emul,emulate (v),emulated (VBN)
enabl,enable (JJ),enable (JJ),enables (NNS)
enact,enact (JJ),enact (JJ),enactment (NN)
encas,encase (v),encased (VBD)
encircl,encircled (JJ),encircled (JJ)
enclos,enclose (v),enclosed (VBD)
encod,encode (JJ),encode (JJ),encoding (VBG),encoded (VBN)
encompass,encompasses (NNS),encompasses (NNS),encompass (NN)
encount,encounter (n),encounter (RB),encounters (NNS),encountered (JJ)
encourag,encourage (v),encouraged (VBD),encouraging (VBG),encourage (NN)
encroach,encroachment (n),encroachment (JJ),encroaching (VBG)
encrust,encrust (v),encrusting (VBG)
encrypt,encryption (n),encryption (NN),encryptions (NNS)
end,end (v),ending (VBG),end (VBP),ended (VBD),ends (NNS)
end-point,end-point (NN),end-point (NN)
endang,endangers (NNS),endangers (NNS),endanger (NN)
endeavour,endeavour (v),endeavour (VB),endeavours (NNS)
endless,endless (NN),endless (NN),endlessly (RB)
endors,endorse (JJ),endorse (JJ)
endoskelet,endoskeletal (JJ),endoskeletal (JJ)
endotherm,endotherms (NNS),endotherms (NNS)
endur,endurance (n),endurance (NN),endured (VBD),enduring (VBG)
enemi,enemy (n),enemy (JJ),enemies (NNS)
energi,energy (n),energy (NN)
enfold,enfold (v),enfolds (VBZ)
enforc,enforce (v),enforcing (VBG),enforced (VBD)
enfranchis,enfranchiser (VBP),enfranchiser (VBP)
engag,engage (v),engage (VB),engaged (VBN),engaging (VBG)
engend,engender (RBR),engender (RBR)
engin,engineer (v),engineered (VBD),engineers (NNS),engineer (NN),engine (NN),engines (NNS),engineering (NN)
enhanc,enhance (v),enhanced (VBD)
enjoy,enjoy (NN),enjoy (NN),enjoying (VBG)
enlighten,enlighten (v),enlightened (VBD),enlighten (JJ),enlightenment (NN)
enlist,enlist (NN),enlist (NN),enlisted (VBD)
enmesh,enmesh (v),enmeshed (VBD)
ennui,ennui (VBD),ennui (VBD)
enorm,enormity (n),enormity (NN),enormous (JJ)
enough,enough (n),enough (RB)
enquir,enquire (v),enquiring (VBG)
enquiri,enquiry (n),enquiries (NNS),enquiry (NN)
enrich,enrich (FW),enrich (FW),enriched (VBD)
ensnar,ensnare (v),ensnared (VBD)
ensu,ensue (v),ensues (VBP)
ensur,ensure (v),ensuring (VBG),ensure (VB),ensured (VBD)
enter,enter (v),entering (VBG),enters (NNS),entered (VBN),enter (NN)
enterpris,enterprise (n),enterprise (NN)
entertain,entertainment (n),entertainment (NN),entertained (VBD),entertaining (VBG)
enthusiasm,enthusiasm (n),enthusiasm (NN)
entic,entice (v),enticed (VBD)
entir,entirely (RB),entirely (RB),entire (JJ)
entiti,entity (n),entities (NNS),entity (JJ)
entityent,entityentities (NNS),entityentities (NNS)
entomb,entomb (v),entombed (VBD)
entomolog,entomology (n),entomology (RB)
entourag,entourage (VBP),entourage (VBP)
entranc,entrance (n),entrance (NN),entrances (NNS)
entreat,entreatingly (RB),entreatingly (RB)
entreati,entreaty (n),entreaties (NNS)
entropi,entropy (n),entropy (NN)
entrust,entrust (v),entrusted (VBD)
entryway,entryway (n),entryway (JJ)
enumer,enumerate (v),enumerate (VBP)
envelop,envelope (n),envelope (NN)
envi,envy (v),envied (VBD),envy (JJ)
environ,environment (n),environments (NNS),environs (NNS),environment (NN)
environment,environmental (JJ),environmental (JJ)
envisag,envisage (v),envisaged (VBD),envisage (VB)
ephemer,ephemeral (n),ephemeral (JJ)
epidem,epidemic (n),epidemic (JJ)
epilepsi,epilepsy (n),epilepsies (NNS)
epiphani,epiphany (n),epiphany (NN)
episod,episode (n),episodes (NNS),episode (NN)
equal,equally (RB),equally (RB),equal (JJ)
equanim,equanimity (n),equanimity (NN)
equat,equation (n),equations (NNS),equation (NN),equator (NN),equate (NN)
equatori,equatorial (n),equatorial (JJ)
equilibrium,equilibrium (n),equilibrium (NN)
equip,equipped (JJ),equipped (JJ),equipment (NN)
equival,equivalent (n),equivalent (JJ),equivalents (NNS)
equivoc,equivocation (n),equivocations (NNS)
era,era (VBP),era (VBP)
eras,erase (v),erased (VBN),erase (NN),erasing (VBG)
erect,erect (v),erecting (VBG)
ergo,ergo (NN),ergo (NN)
erod,erodes (NNS),erodes (NNS),eroded (VBD),eroding (VBG)
eros,erosion (n),erosion (NN)
errand,errand (n),errand (NN),errands (VBZ)
errat,erratic (JJ),erratic (JJ)
error,error (n),errors (NNS),error (NN)
ersatz,ersatz (n),ersatz (JJ)
erstwhil,erstwhile (RB),erstwhile (RB)
erudit,erudite (RB),erudite (RB)
erupt,erupt (v),erupts (VBZ),erupting (VBG),erupt (JJ),erupted (VBD)
escal,escalation (n),escalation (NN),escalated (VBD)
escap,escape (n),escape (NN),escapes (NNS),escaped (VBD),escaping (NN)
escape,escapee (n),escapees (NNS)
escort,escort (n),escorts (NNS)
eshelbi,eshelby (NN),eshelby (NN)
especi,especially (RB),especially (RB)
essay,essay (v),essayed (VBD)
essenti,essential (n),essential (JJ),essentially (RB)
establish,establish (v),establishing (VBG),establish (VB),established (VBN)
esteem,esteem (v),esteemed (VBN),esteem (JJ)
estim,estimate (n),estimate (NN),estimations (NNS)
etcetera,etcetera (VBP),etcetera (VBP)
etern,eternal (JJ),eternal (JJ),eternity (NN)
ether,ether (n),ether (RB)
ethnic,ethnicity (n),ethnicity (NN)
europa,europa (n),europa (JJ)
eva,eva (NN),eva (NN)
evacu,evacuate (v),evacuated (VBD),evacuation (NN)
evacue,evacuee (n),evacuees (NNS)
evad,evade (NN),evade (NN),evaded (VBD)
evas,evasive (JJ),evasive (JJ)
even,even (n),even (RB),evening (VBG)
event,event (n),events (NNS),event (NN)
eventu,eventuality (n),eventualities (NNS),eventually (RB),eventual (JJ)
ever,ever (RB),ever (RB)
ever-extend,ever-extending (JJ),ever-extending (JJ)
ever-liv,ever-living (JJ),ever-living (JJ)
ever-more-complex,ever-more-complex (JJ),ever-more-complex (JJ)
everi,every (DT),every (DT)
everybodi,everybody (NN),everybody (NN)
everyday,everyday (JJ),everyday (JJ)
everyon,everyone (NN),everyone (NN)
everyth,everything (NN),everything (NN)
everywher,everywhere (RB),everywhere (RB)
evid,evident (JJ),evident (JJ),evidence (NN),evidently (RB)
evidenc,evidence (v),evidenced (VBD)
evil,evil (n),evil (JJ)
evinc,evince (v),evinced (VBD)
evolut,evolution (n),evolution (NN)
evolutionari,evolutionary (JJ),evolutionary (JJ)
evolv,evolve (RB),evolve (RB),evolves (NNS),evolved (VBD),evolving (VBG)
exact,exact (v),exacting (VBG),exactingly (RB),exactly (RB),exact (JJ)
exagger,exaggerated (JJ),exaggerated (JJ)
exalt,exalt (v),exalted (VBD),exaltation (NN),exalt (VBP)
exam,exam (n),exam (JJ)
examin,examination (n),examination (NN),examinations (NNS),examine (NN),examined (JJ),examining (VBG),examines (NNS)
exampl,example (n),example (NN),examples (NNS)
exasper,exasperation (n),exasperation (NN),exasperated (VBN),exasperating (VBG)
excav,excavation (n),excavations (NNS)
exceed,exceed (v),exceed (VBP),exceedingly (RB)
excel,excellent (JJ),excellent (JJ)
except,except (IN),except (IN),exceptional (JJ),exception (NN),excepting (VBG)
excess,excess (n),excess (JJ),excesses (VBZ)
exchang,exchange (n),exchange (NN),exchanges (NNS),exchanged (VBD)
excit,excited (JJ),excited (JJ),excitable (JJ),excites (VBZ),excite (RB),excitement (JJ),exciting (VBG)
exclus,exclusion (n),exclusion (NN),exclusive (JJ)
excurs,excursion (n),excursion (NN),excursions (NNS)
excus,excuse (v),excusing (VBG),excuse (VBP)
execut,executive (n),executive (NN),executing (VBG),executed (VBD)
execution,executioner (n),executioners (NNS)
exemplar,exemplar (n),exemplars (NNS),exemplar (JJ)
exercis,exercise (n),exercise (NN)
exert,exerts (NNS),exerts (NNS),exert (VBP)
exhal,exhalation (n),exhalation (NN)
exhaust,exhaust (v),exhausted (VBD),exhausting (VBG)
exhilar,exhilarate (v),exhilarated (VBN)
exhort,exhort (NN),exhort (NN)
exil,exile (v),exiles (VBZ),exiled (VBD),exiling (VBG),exile (NN)
exist,exist (v),exist (VBP),existing (VBG),existence (NN),exists (VBZ),existed (VBN)
exit,exit (n),exit (NN)
exodus,exodus (n),exodus (JJ)
exorc,exorcize (v),exorcized (VBN)
exoskeleton,exoskeleton (n),exoskeleton (NN),exoskeletons (NNS)
exot,exotic (JJ),exotic (JJ)
exotherm,exothermic (JJ),exothermic (JJ)
expand,expand (v),expands (VBZ),expanding (VBG),expanded (VBD),expand (VBP)
expans,expansion (n),expansion (NN),expanse (JJ),expansive (JJ)
